No,Magnet,Position,x_shift[m],y_shift[m],z_shift[m],Strength_ratio,RMS(d_px),Mean(d_px),RMS(d_py),Mean(d_py),RMS(d_pz),Mean(d_pz),RMS(d_sx),Mean(d_sx),RMS(d_sy),Mean(d_sy),RMS(d_x),Mean(d_x),RMS(d_y),Mean(d_y)
1_1,HKICKER(1),29.842,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,HKICKER(2),38.019,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_1,HKICKER(3),53.814,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_1,HKICKER(4),166.185,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_1,HKICKER(5),193.898,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_1,QUADRUPOLE(1),29.335,0,-0.0005,0,1,0,0,0,0,0,0,0,0,2.12657e-06,-1.31132e-05,0,0,0.000116564,-0.00270603
7_1,QUADRUPOLE(2),37.55,0,-0.0005,0,1,0,0,0,0,0,0,0,0,1.0753e-06,2.24075e-05,0,0,0.000213895,0.00413121
8_1,QUADRUPOLE(3),44.05,0,-0.0005,0,1,0,0,0,0,0,0,0,0,7.71749e-07,2.44469e-05,0,0,0.000280855,0.00432721
9_1,QUADRUPOLE(4),46.7195,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_1,QUADRUPOLE(5),53.335,0,-0.0005,0,1,0,0,0,0,0,0,0,0,8.0578e-07,-2.12406e-05,0,0,0.000152283,-0.00346065
11_1,QUADRUPOLE(6),171.253,0,-0.0005,0,1,0,0,0,0,0,0,0,0,9.67942e-07,9.4438e-06,0,0,2.32255e-05,0.000267959
12_1,QUADRUPOLE(7),198.89,0,-0.0005,0,1,0,0,0,0,0,0,0,0,5.33919e-07,-6.5469e-06,0,0,4.53013e-06,-5.56327e-05
13_1,RBEND(1),63.022,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14_1,RBEND(2),67.288,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15_1,RBEND(3),71.554,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16_1,RBEND(4),75.82,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17_1,RBEND(5),80.086,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_1,RBEND(6),84.352,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_1,RBEND(7),162.625,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_1,VKICKER(1),29.842,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21_1,VKICKER(2),38.019,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_1,VKICKER(3),53.814,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_1,VKICKER(4),164.888,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24_1,VKICKER(5),167.481,0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25_1,HKICKER(1),29.842,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26_1,HKICKER(2),38.019,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27_1,HKICKER(3),53.814,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28_1,HKICKER(4),166.185,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29_1,HKICKER(5),193.898,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30_1,QUADRUPOLE(1),29.335,0,-0.0002,0,1,0,0,0,0,0,0,0,0,8.50627e-07,-5.24529e-06,0,0,4.66258e-05,-0.00108241
31_1,QUADRUPOLE(2),37.55,0,-0.0002,0,1,0,0,0,0,0,0,0,0,4.3012e-07,8.963e-06,0,0,8.55582e-05,0.00165249
32_1,QUADRUPOLE(3),44.05,0,-0.0002,0,1,0,0,0,0,0,0,0,0,3.087e-07,9.77875e-06,0,0,0.000112342,0.00173088
33_1,QUADRUPOLE(4),46.7195,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34_1,QUADRUPOLE(5),53.335,0,-0.0002,0,1,0,0,0,0,0,0,0,0,3.22312e-07,-8.49623e-06,0,0,6.09132e-05,-0.00138426
35_1,QUADRUPOLE(6),171.253,0,-0.0002,0,1,0,0,0,0,0,0,0,0,3.87177e-07,3.77752e-06,0,0,9.29018e-06,0.000107184
36_1,QUADRUPOLE(7),198.89,0,-0.0002,0,1,0,0,0,0,0,0,0,0,2.13568e-07,-2.61876e-06,0,0,1.81205e-06,-2.22531e-05
37_1,RBEND(1),63.022,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38_1,RBEND(2),67.288,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39_1,RBEND(3),71.554,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_1,RBEND(4),75.82,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41_1,RBEND(5),80.086,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42_1,RBEND(6),84.352,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43_1,RBEND(7),162.625,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44_1,VKICKER(1),29.842,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45_1,VKICKER(2),38.019,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46_1,VKICKER(3),53.814,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47_1,VKICKER(4),164.888,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48_1,VKICKER(5),167.481,0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49_1,HKICKER(1),29.842,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50_1,HKICKER(2),38.019,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51_1,HKICKER(3),53.814,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52_1,HKICKER(4),166.185,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53_1,HKICKER(5),193.898,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54_1,QUADRUPOLE(1),29.335,0,-0.0001,0,1,0,0,0,0,0,0,0,0,4.25313e-07,-2.62264e-06,0,0,2.33129e-05,-0.000541206
55_1,QUADRUPOLE(2),37.55,0,-0.0001,0,1,0,0,0,0,0,0,0,0,2.1506e-07,4.4815e-06,0,0,4.27791e-05,0.000826243
56_1,QUADRUPOLE(3),44.05,0,-0.0001,0,1,0,0,0,0,0,0,0,0,1.5435e-07,4.88937e-06,0,0,5.6171e-05,0.000865441
57_1,QUADRUPOLE(4),46.7195,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58_1,QUADRUPOLE(5),53.335,0,-0.0001,0,1,0,0,0,0,0,0,0,0,1.61156e-07,-4.24811e-06,0,0,3.04566e-05,-0.00069213
59_1,QUADRUPOLE(6),171.253,0,-0.0001,0,1,0,0,0,0,0,0,0,0,1.93588e-07,1.88876e-06,0,0,4.64509e-06,5.35918e-05
60_1,QUADRUPOLE(7),198.89,0,-0.0001,0,1,0,0,0,0,0,0,0,0,1.06784e-07,-1.30938e-06,0,0,9.06026e-07,-1.11265e-05
61_1,RBEND(1),63.022,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62_1,RBEND(2),67.288,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63_1,RBEND(3),71.554,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64_1,RBEND(4),75.82,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65_1,RBEND(5),80.086,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66_1,RBEND(6),84.352,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67_1,RBEND(7),162.625,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68_1,VKICKER(1),29.842,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69_1,VKICKER(2),38.019,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70_1,VKICKER(3),53.814,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71_1,VKICKER(4),164.888,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72_1,VKICKER(5),167.481,0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73_1,HKICKER(1),29.842,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74_1,HKICKER(2),38.019,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75_1,HKICKER(3),53.814,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76_1,HKICKER(4),166.185,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77_1,HKICKER(5),193.898,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78_1,QUADRUPOLE(1),29.335,0,0.0001,0,1,0,0,0,0,0,0,0,0,4.25313e-07,2.62264e-06,0,0,2.33129e-05,0.000541206
79_1,QUADRUPOLE(2),37.55,0,0.0001,0,1,0,0,0,0,0,0,0,0,2.1506e-07,-4.4815e-06,0,0,4.27791e-05,-0.000826243
80_1,QUADRUPOLE(3),44.05,0,0.0001,0,1,0,0,0,0,0,0,0,0,1.5435e-07,-4.88937e-06,0,0,5.6171e-05,-0.000865441
81_1,QUADRUPOLE(4),46.7195,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82_1,QUADRUPOLE(5),53.335,0,0.0001,0,1,0,0,0,0,0,0,0,0,1.61156e-07,4.24811e-06,0,0,3.04566e-05,0.00069213
83_1,QUADRUPOLE(6),171.253,0,0.0001,0,1,0,0,0,0,0,0,0,0,1.93588e-07,-1.88876e-06,0,0,4.64509e-06,-5.35918e-05
84_1,QUADRUPOLE(7),198.89,0,0.0001,0,1,0,0,0,0,0,0,0,0,1.06784e-07,1.30938e-06,0,0,9.06026e-07,1.11265e-05
85_1,RBEND(1),63.022,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86_1,RBEND(2),67.288,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87_1,RBEND(3),71.554,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88_1,RBEND(4),75.82,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89_1,RBEND(5),80.086,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90_1,RBEND(6),84.352,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91_1,RBEND(7),162.625,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92_1,VKICKER(1),29.842,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93_1,VKICKER(2),38.019,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94_1,VKICKER(3),53.814,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95_1,VKICKER(4),164.888,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96_1,VKICKER(5),167.481,0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97_1,HKICKER(1),29.842,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98_1,HKICKER(2),38.019,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99_1,HKICKER(3),53.814,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100_1,HKICKER(4),166.185,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101_1,HKICKER(5),193.898,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102_1,QUADRUPOLE(1),29.335,0,0.0002,0,1,0,0,0,0,0,0,0,0,8.50627e-07,5.24529e-06,0,0,4.66258e-05,0.00108241
103_1,QUADRUPOLE(2),37.55,0,0.0002,0,1,0,0,0,0,0,0,0,0,4.3012e-07,-8.963e-06,0,0,8.55582e-05,-0.00165249
104_1,QUADRUPOLE(3),44.05,0,0.0002,0,1,0,0,0,0,0,0,0,0,3.087e-07,-9.77875e-06,0,0,0.000112342,-0.00173088
105_1,QUADRUPOLE(4),46.7195,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106_1,QUADRUPOLE(5),53.335,0,0.0002,0,1,0,0,0,0,0,0,0,0,3.22312e-07,8.49623e-06,0,0,6.09132e-05,0.00138426
107_1,QUADRUPOLE(6),171.253,0,0.0002,0,1,0,0,0,0,0,0,0,0,3.87177e-07,-3.77752e-06,0,0,9.29019e-06,-0.000107184
108_1,QUADRUPOLE(7),198.89,0,0.0002,0,1,0,0,0,0,0,0,0,0,2.13568e-07,2.61876e-06,0,0,1.81205e-06,2.22531e-05
109_1,RBEND(1),63.022,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110_1,RBEND(2),67.288,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111_1,RBEND(3),71.554,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112_1,RBEND(4),75.82,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113_1,RBEND(5),80.086,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114_1,RBEND(6),84.352,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115_1,RBEND(7),162.625,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116_1,VKICKER(1),29.842,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117_1,VKICKER(2),38.019,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118_1,VKICKER(3),53.814,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119_1,VKICKER(4),164.888,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120_1,VKICKER(5),167.481,0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
